Link,Item,Colours,Price
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_speedpocket_5_shorts/1361486.html?dwvar_1361486_color=481&start=72&breadCrumbLast=Now%20Trending,"Men's UA Speedpocket 5"" Shorts",1,69.0
https://www.underarmour.com.sg/en-sg/p/men-footwear/unisex_curry_flow_9_basketball_shoes/3025684.html?dwvar_3025684_color=004&start=72&breadCrumbLast=Now%20Trending,Unisex Curry Flow 9 Basketball Shoes,1,239.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_heatgear_armour_leggings/1361586.html?dwvar_1361586_color=001&start=72&breadCrumbLast=Now%20Trending,Men's HeatGear® Armour Leggings,3,49.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_qualifier_5_wordmark_shorts/1365210.html?dwvar_1365210_color=001&start=72&breadCrumbLast=Now%20Trending,"Men's UA Qualifier 5"" Wordmark Shorts",1,59.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_rush_seamless_geosport_short_sleeve/1370441.html?dwvar_1370441_color=001&start=72&breadCrumbLast=Now%20Trending,Men's UA RUSH™ Seamless GeoSport Short Sleeve,4,89.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_gl_foundation_short_sleeve_t-shirt/1326849.html?dwvar_1326849_color=001&start=72&breadCrumbLast=Now%20Trending,Men's UA GL Foundation Short Sleeve T-Shirt,5,39.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_rush_heatgear_2.0_long_shorts/1358235.html?dwvar_1358235_color=001&start=72&breadCrumbLast=Now%20Trending,Men's UA RUSH™ HeatGear® 2.0 Long Shorts,2,79.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-underwear/mens_ua_tech_mesh_6_boxerjock_%E2%80%93_2-pack/1363623.html?dwvar_1363623_color=001&start=72&breadCrumbLast=Now%20Trending,"Men's UA Tech™ Mesh 6"" Boxerjock® – 2-Pack",2,69.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_launch_run_5_shorts/1361492.html?dwvar_1361492_color=001&start=72&breadCrumbLast=Now%20Trending,"Men's UA Launch Run 5"" Shorts",6,49.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_rival_fleece_joggers/1357128.html?dwvar_1357128_color=001&start=72&breadCrumbLast=Now%20Trending,Men's UA Rival Fleece Joggers,3,79.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_sportstyle_tricot_graphic_pants/1370501.html?dwvar_1370501_color=001&start=84&breadCrumbLast=Now%20Trending,Men's UA Sportstyle Tricot Graphic Pants,1,89.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_drive_tapered_pants/1364410.html?dwvar_1364410_color=001&start=84&breadCrumbLast=Now%20Trending,Men's UA Drive Tapered Pants,6,129.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_drive_pants/1364407.html?dwvar_1364407_color=001&start=84&breadCrumbLast=Now%20Trending,Men's UA Drive Pants,4,129.0
https://www.underarmour.com.sg/en-sg/p/men-footwear/mens_ua_charged_medal_rst_wide_e_golf_shoes/3025381.html?dwvar_3025381_color=001&start=84&breadCrumbLast=Now%20Trending,Men's UA Charged Medal RST Wide (E) Golf Shoes,2,159.0
https://www.underarmour.com.sg/en-sg/p/men-accessories-headwear/mens_ua_iso-chill_launch_run_visor/1361563.html?dwvar_1361563_color=001&start=84&breadCrumbLast=Now%20Trending,Men's UA Iso-Chill Launch Run Visor,3,35.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-tops/mens_ua_speed_stride_2.0_t-shirt/1369746.html?dwvar_1369746_color=001&start=84&breadCrumbLast=Now%20Trending,Men's UA Speed Stride 2.0 T-Shirt,1,39.0
https://www.underarmour.com.sg/en-sg/p/men-accessories-belts/mens_ua_braided_golf_belt/1361569.html?dwvar_1361569_color=001&start=84&breadCrumbLast=Now%20Trending,Men's UA Braided Golf Belt,4,69.0
https://www.underarmour.com.sg/en-sg/p/men-accessories-bags/project_rock_gym_sack/1369226.html?dwvar_1369226_color=002&start=84&breadCrumbLast=Now%20Trending,Project Rock Gym Sack,3,49.0
https://www.underarmour.com.sg/en-sg/p/accessories-sport-gloves/mens_project_rock_training_glove/1353074.html?dwvar_1353074_color=003&start=84&breadCrumbLast=Now%20Trending,Men's Project Rock Training Glove,1,59.0
https://www.underarmour.com.sg/en-sg/p/men-clothing-bottoms/mens_ua_speedpocket_7_shorts/1369780.html?dwvar_1369780_color=001&start=84&breadCrumbLast=Now%20Trending,Men's UA SpeedPocket 7'' Shorts,1,69.0
https://www.underarmour.com.sg/en-sg/p/men-accessories-bags/ua_undeniable_5.0_small_duffle_bag/1369222.html?dwvar_1369222_color=002&start=84&breadCrumbLast=Now%20Trending,UA Undeniable 5.0 Small Duffle Bag,2,59.0
